stamp,postal agency,date,department,starred hour,collection,stamp type,quality,manual,year,month,day,img_name,dep_name,town_name
FI-0970-0003_cls1_0,ATTIGNY,XXXX-07-30TXX:XX,ARDENNES,False,3E,date stamp,mediocre,True,,7.0,30.0,FI-0970-0003,Ardennes,Attigny
FI-0970-0010_cls1_0,,1913-08-10TXX:XX,,False,,hexagonal date stamp,mediocre,False,1913.0,8.0,10.0,FI-0970-0010,,
FI-0970-0011_cls1_0,,1907-05-18T08:25,,False,,date stamp,mediocre,False,1907.0,5.0,18.0,FI-0970-0011,,
FI-0970-0006_cls1_0,GIVET,XXXX-10-17TXX:XX,ARDENNES,False,,date stamp,mediocre,True,,10.0,17.0,FI-0970-0006,Ardennes,Givet
FI-0970-0007_cls1_0,AUBRIVES,1931-XX-XXTXX:XX,ARDENNES,False,,date stamp,mediocre,True,1931.0,,,FI-0970-0007,Ardennes,Aubrives
FI-0970-0022_cls1_0,ASFELD A RETHEL,1910-06-03TXX:XX,,True,,conveyor line stamp,good,True,1910.0,6.0,3.0,FI-0970-0022,,
FI-0970-0024_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,True,,,,FI-0970-0024,,
FI-0970-0025_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0025,,
FI-0970-0013_cls1_0,CARIGNAN,1904-03-21TXX:XX,ARDENNES,False,10E,date stamp,mediocre,True,1904.0,3.0,21.0,FI-0970-0013,Ardennes,Carignan
FI-0970-0017_cls1_0,,1915-09-15T14:25,MARNE,False,,date stamp,mediocre,False,1915.0,9.0,15.0,FI-0970-0017,,
FI-0970-0036_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0036,,
FI-0970-0040_cls1_0,,XXXX-XX-XXTXX:XX,,False,,hexagonal date stamp,poor,True,,,,FI-0970-0040,,
